Sample ID;Location;lake;type;Treatment;Year;Replicate;Initial weight green;Initial weight red tea ;FiNAl weight green tea;FiNAl weight red tea;incubation time;;;;;;;;;;;;;;;;;
44;B Ekeren;Ekeren;littoral;on top of sediment;2016;1;2.07;2.22;0.40;1.44;91.00;;;;;;;;;;;;;;;;;
45;B Ekeren;Ekeren;littoral;on top of sediment;2016;2;2.05;2.22;0.43;1.51;91.00;;;;;;;;;;;;;;;;;
46;B Ekeren;Ekeren;littoral;on top of sediment;2016;3;2.30;2.28;0.36;1.44;91.00;;;;;;;;;;;;;;;;;
47;B Ekeren;Ekeren;pelagic;water column;2016;1;2.21;2.23;0.50;1.53;91.00;;;;;;;;;;;;;;;;;
48;B Ekeren;Ekeren;pelagic;water column;2016;2;2.08;2.17;0.44;1.54;91.00;;;;;;;;;;;;;;;;;
49;B Ekeren;Ekeren;pelagic;water column;2016;3;2.11;2.18;0.45;1.58;91.00;;;;;;;;;;;;;;;;;
50;NL Haarlemmermeer I;Haarlemmermeer;sediment;in sediment;2016;1;1.90;2.10;0.20;0.90;98.00;;;;;;;;;;;;;;;;;
51;NL Haarlemmermeer I;Haarlemmermeer;sediment;in sediment;2016;2;1.80;2.10;0.50;1.20;98.00;;;;;;;;;;;;;;;;;
52;NL Haarlemmermeer I;Haarlemmermeer;sediment;in sediment;2016;3;1.90;1.90;0.20;1.30;98.00;;;;;;;;;;;;;;;;;
53;NL Haarlemmermeer I;Haarlemmermeer;littoral;on top of sediment;2016;1;1.90;2.00;0.30;1.30;98.00;;;;;;;;;;;;;;;;;
54;NL Haarlemmermeer I;Haarlemmermeer;littoral;on top of sediment;2016;2;1.90;2.10;0.20;0.70;98.00;;;;;;;;;;;;;;;;;
55;NL Haarlemmermeer I;Haarlemmermeer;littoral;on top of sediment;2016;3;1.90;2.00;0.30;0.70;98.00;;;;;;;;;;;;;;;;;
56;NL Haarlemmermeer I;Haarlemmermeer;pelagic;water column;2016;1;1.90;2.10;0.20;1.00;98.00;;;;;;;;;;;;;;;;;
57;NL Haarlemmermeer I;Haarlemmermeer;pelagic;water column;2016;2;1.80;2.10;0.30;0.90;98.00;;;;;;;;;;;;;;;;;
58;NL Haarlemmermeer I;Haarlemmermeer;pelagic;water column;2016;3;1.90;2.10;0.40;0.70;98.00;;;;;;;;;;;;;;;;;
59;IR Emy 1;Emy;sediment;in sediment;2016;1;2.05;2.17;1.23;1.81;90.00;;;;;;;;;;;;;;;;;
60;IR Emy 1;Emy;sediment;in sediment;2016;2;2.13;2.26;1.19;2.08;90.00;;;;;;;;;;;;;;;;;
