Sample ID;Location;lake;type;Treatment;Year;Replicate;Initial weight green;Initial weight red tea ;FiNAl weight green tea;FiNAl weight red tea;incubation time;;;;;;;;;;;;;;;;;
194;IT Campo ;Campo ;pelagic;water column;2017;1;2.047;2.2404;0.605;1.686;94;;;;;;;;;;;;;;;;;
195;IT Campo ;Campo ;pelagic;water column;2017;2;1.9549;2.1861;0.688;1.733;94;;;;;;;;;;;;;;;;;
196;IT Campo ;Campo ;pelagic;water column;2017;3;2.1307;2.243;0.654;1.688;94;;;;;;;;;;;;;;;;;
197;IT Wildersee ;Wildersee ;littoral;on top of sediment;2017;1;2.2075;2.2917;0.864;1.839;100;;;;;;;;;;;;;;;;;
198;IT Wildersee ;Wildersee ;littoral;on top of sediment;2017;2;2.1619;2.2246;0.815;1.775;100;;;;;;;;;;;;;;;;;
199;IT Wildersee ;Wildersee ;littoral;on top of sediment;2017;3;2.253;2.3183;0.788;1.886;100;;;;;;;;;;;;;;;;;
200;IT S. Giustina;S.Giustina;pelagic;water column;2017;1;2.266;2.2727;0.551;1.505;100;;;;;;;;;;;;;;;;;
201;IT S. Giustina;S.Giustina;pelagic;water column;2017;2;2.1901;2.3251;0.482;1.531;100;;;;;;;;;;;;;;;;;
202;IT S. Giustina;S.Giustina;pelagic;water column;2017;3;2.146;2.3181;0.491;1.565;100;;;;;;;;;;;;;;;;;
203;IT Valagola;Valagola;littoral;on top of sediment;2017;1;2.2288;2.2939;0.668;1.626;94;;;;;;;;;;;;;;;;;
204;IT Valagola;Valagola;littoral;on top of sediment;2017;2;2.0467;2.2866;0.635;1.608;94;;;;;;;;;;;;;;;;;
205;IT Valagola;Valagola;littoral;on top of sediment;2017;3;2.2123;2.341;0.619;1.691;94;;;;;;;;;;;;;;;;;
206;IT Barco;Barco;littoral;on top of sediment;2017;1;2.2614;2.2457;0.582;1.683;91;;;;;;;;;;;;;;;;;
207;IT Barco;Barco;littoral;on top of sediment;2017;2;2.0649;2.3264;0.572;1.637;91;;;;;;;;;;;;;;;;;
208;IT Barco;Barco;littoral;on top of sediment;2017;3;2.0912;2.3027;0.600;1.620;91;;;;;;;;;;;;;;;;;
209;IT Corvo;Corvo;littoral;on top of sediment;2017;1;2.2625;2.2939;0.565;1.703;91;;;;;;;;;;;;;;;;;
210;IT Corvo;Corvo;littoral;on top of sediment;2017;2;2.1495;2.3415;0.605;1.757;91;;;;;;;;;;;;;;;;;
211;IT Corvo;Corvo;littoral;on top of sediment;2017;3;2.1457;2.2491;0.659;1.743;91;;;;;;;;;;;;;;;;;
212;IT Mezzana;Mezzana;pelagic;on top of sediment;2017;1;2.1523;2.276;0.693;1.771;85;;;;;;;;;;;;;;;;;
213;IT Mezzana;Mezzana;pelagic;on top of sediment;2017;2;2.1857;2.3003;0.561;1.759;85;;;;;;;;;;;;;;;;;
214;IT Mezzana;Mezzana;pelagic;on top of sediment;2017;3;2.114;2.2743;0.696;1.776;85;;;;;;;;;;;;;;;;;
215;NL RP0;Rosmalense plas;littoral;on top of sediment;2015;1;2.099295185;2.232493822;NA;NA;84;;;;;;;;;;;;;;;;;
216;NL RP0;Rosmalense plas;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.577;1.496;84;;;;;;;;;;;;;;;;;
217;NL RP0;Rosmalense plas;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.581;1.536;84;;;;;;;;;;;;;;;;;
218;NL RP0;Rosmalense plas;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.481;1.52;84;;;;;;;;;;;;;;;;;
219;NL RP0;Rosmalense plas;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.528;1.419;84;;;;;;;;;;;;;;;;;
220;NL RP2;Rosmalense plas;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.599;1.595;84;;;;;;;;;;;;;;;;;
221;NL RP2;Rosmalense plas;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.683;1.481;84;;;;;;;;;;;;;;;;;
222;NL RP2;Rosmalense plas;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.608;1.443;84;;;;;;;;;;;;;;;;;
223;NL RP2;Rosmalense plas;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.6;1.493;84;;;;;;;;;;;;;;;;;
224;NL RP2;Rosmalense plas;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.573;1.53;84;;;;;;;;;;;;;;;;;
225;NL RP5;Rosmalense plas;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.252;1.451;84;;;;;;;;;;;;;;;;;
226;NL RP5;Rosmalense plas;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.333;1.459;84;;;;;;;;;;;;;;;;;
227;NL RP5;Rosmalense plas;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.32;1.482;84;;;;;;;;;;;;;;;;;
228;NL RP5;Rosmalense plas;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.335;1.333;84;;;;;;;;;;;;;;;;;
229;NL RP5;Rosmalense plas;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.351;1.471;84;;;;;;;;;;;;;;;;;
230;NL RP10;Rosmalense plas;littoral;on top of sediment;2015;1;2.099295185;2.232493822;NA;NA;84;;;;;;;;;;;;;;;;;
231;NL RP10;Rosmalense plas;littoral;on top of sediment;2015;2;2.099295185;2.232493822;NA;NA;84;;;;;;;;;;;;;;;;;
232;NL RP10;Rosmalense plas;littoral;on top of sediment;2015;3;2.099295185;2.232493822;NA;NA;84;;;;;;;;;;;;;;;;;
233;NL RP10;Rosmalense plas;littoral;on top of sediment;2015;4;2.099295185;2.232493822;NA;NA;84;;;;;;;;;;;;;;;;;
234;NL RP10;Rosmalense plas;littoral;on top of sediment;2015;5;2.099295185;2.232493822;NA;NA;84;;;;;;;;;;;;;;;;;
235;NL HV0;Engelermeer;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.403;1.467;90;;;;;;;;;;;;;;;;;
236;NL HV0;Engelermeer;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.419;1.558;90;;;;;;;;;;;;;;;;;
237;NL HV0;Engelermeer;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.383;1.515;90;;;;;;;;;;;;;;;;;
238;NL HV0;Engelermeer;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.404;1.512;90;;;;;;;;;;;;;;;;;
239;NL HV0;Engelermeer;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.391;1.553;90;;;;;;;;;;;;;;;;;
240;NL HV2;Engelermeer;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.485;1.501;90;;;;;;;;;;;;;;;;;
241;NL HV2;Engelermeer;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.451;1.553;90;;;;;;;;;;;;;;;;;
242;NL HV2;Engelermeer;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.428;1.441;90;;;;;;;;;;;;;;;;;
243;NL HV2;Engelermeer;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.438;1.518;90;;;;;;;;;;;;;;;;;
244;NL HV2;Engelermeer;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.476;1.573;90;;;;;;;;;;;;;;;;;
245;NL HV5;Engelermeer;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.44;1.427;90;;;;;;;;;;;;;;;;;
246;NL HV5;Engelermeer;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.278;1.376;90;;;;;;;;;;;;;;;;;
247;NL HV5;Engelermeer;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.513;1.335;90;;;;;;;;;;;;;;;;;
248;NL HV5;Engelermeer;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.283;1.335;90;;;;;;;;;;;;;;;;;
249;NL HV5;Engelermeer;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.518;1.321;90;;;;;;;;;;;;;;;;;
250;NL HV10;Engelermeer;littoral;on top of sediment;2015;1;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
251;NL HV10;Engelermeer;littoral;on top of sediment;2015;2;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
252;NL HV10;Engelermeer;littoral;on top of sediment;2015;3;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
253;NL HV10;Engelermeer;littoral;on top of sediment;2015;4;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
254;NL HV10;Engelermeer;littoral;on top of sediment;2015;5;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
255;NL OL0;de Omloop;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.547;1.732;90;;;;;;;;;;;;;;;;;
256;NL OL0;de Omloop;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.769;1.555;90;;;;;;;;;;;;;;;;;
257;NL OL0;de Omloop;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.69;1.791;90;;;;;;;;;;;;;;;;;
258;NL OL0;de Omloop;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.695;1.748;90;;;;;;;;;;;;;;;;;
259;NL OL0;de Omloop;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.75;1.828;90;;;;;;;;;;;;;;;;;
260;NL OL2;de Omloop;littoral;on top of sediment;2015;1;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
261;NL OL2;de Omloop;littoral;on top of sediment;2015;2;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
262;NL OL2;de Omloop;littoral;on top of sediment;2015;3;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
263;NL OL2;de Omloop;littoral;on top of sediment;2015;4;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
264;NL OL2;de Omloop;littoral;on top of sediment;2015;5;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
265;NL OL5;de Omloop;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.409;1.479;90;;;;;;;;;;;;;;;;;
266;NL OL5;de Omloop;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.524;1.468;90;;;;;;;;;;;;;;;;;
267;NL OL5;de Omloop;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.386;1.49;90;;;;;;;;;;;;;;;;;
268;NL OL5;de Omloop;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.413;1.41;90;;;;;;;;;;;;;;;;;
269;NL OL5;de Omloop;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.459;1.418;90;;;;;;;;;;;;;;;;;
270;NL OL10;de Omloop;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.53;1.422;90;;;;;;;;;;;;;;;;;
271;NL OL10;de Omloop;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.425;1.397;90;;;;;;;;;;;;;;;;;
272;NL OL10;de Omloop;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.449;1.517;90;;;;;;;;;;;;;;;;;
273;NL OL10;de Omloop;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.487;1.566;90;;;;;;;;;;;;;;;;;
274;NL OL10;de Omloop;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.413;1.495;90;;;;;;;;;;;;;;;;;
275;NL BM0;Blauwe meer;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.552;1.422;90;;;;;;;;;;;;;;;;;
276;NL BM0;Blauwe meer;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.419;1.56;90;;;;;;;;;;;;;;;;;
277;NL BM0;Blauwe meer;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.471;1.591;90;;;;;;;;;;;;;;;;;
278;NL BM0;Blauwe meer;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.628;1.562;90;;;;;;;;;;;;;;;;;
279;NL BM0;Blauwe meer;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.474;1.535;90;;;;;;;;;;;;;;;;;
280;NL BM2;Blauwe meer;littoral;on top of sediment;2015;1;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
281;NL BM2;Blauwe meer;littoral;on top of sediment;2015;2;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
282;NL BM2;Blauwe meer;littoral;on top of sediment;2015;3;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
283;NL BM2;Blauwe meer;littoral;on top of sediment;2015;4;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
284;NL BM2;Blauwe meer;littoral;on top of sediment;2015;5;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
285;NL BM5;Blauwe meer;littoral;on top of sediment;2015;6;2.099295185;2.232493822;0.43;1.592;90;;;;;;;;;;;;;;;;;
286;NL BM5;Blauwe meer;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.45;1.511;90;;;;;;;;;;;;;;;;;
287;NL BM5;Blauwe meer;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.379;1.564;90;;;;;;;;;;;;;;;;;
288;NL BM5;Blauwe meer;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.388;1.594;90;;;;;;;;;;;;;;;;;
289;NL BM5;Blauwe meer;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.394;1.545;90;;;;;;;;;;;;;;;;;
290;NL BM5;Blauwe meer;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.413;NA;90;;;;;;;;;;;;;;;;;
291;NL BM10;Blauwe meer;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.287;1.447;90;;;;;;;;;;;;;;;;;
292;NL BM10;Blauwe meer;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.351;1.465;90;;;;;;;;;;;;;;;;;
293;NL BM10;Blauwe meer;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.268;1.387;90;;;;;;;;;;;;;;;;;
294;NL BM10;Blauwe meer;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.315;1.383;90;;;;;;;;;;;;;;;;;
295;NL BM10;Blauwe meer;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.35;1.433;90;;;;;;;;;;;;;;;;;
296;NL GW0;Gat van Waalre;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.44;1.467;90;;;;;;;;;;;;;;;;;
297;NL GW0;Gat van Waalre;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.307;1.58;90;;;;;;;;;;;;;;;;;
298;NL GW0;Gat van Waalre;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.41;1.512;90;;;;;;;;;;;;;;;;;
299;NL GW0;Gat van Waalre;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.423;1.512;90;;;;;;;;;;;;;;;;;
300;NL GW0;Gat van Waalre;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.37;1.522;90;;;;;;;;;;;;;;;;;
301;NL GW2;Gat van Waalre;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.378;1.504;90;;;;;;;;;;;;;;;;;
302;NL GW2;Gat van Waalre;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.339;1.487;90;;;;;;;;;;;;;;;;;
303;NL GW2;Gat van Waalre;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.364;1.522;90;;;;;;;;;;;;;;;;;
304;NL GW2;Gat van Waalre;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.317;1.485;90;;;;;;;;;;;;;;;;;
305;NL GW2;Gat van Waalre;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.438;1.454;90;;;;;;;;;;;;;;;;;
306;NL GW5;Gat van Waalre;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.3;1.495;90;;;;;;;;;;;;;;;;;
307;NL GW5;Gat van Waalre;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.416;1.46;90;;;;;;;;;;;;;;;;;
308;NL GW5;Gat van Waalre;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.314;1.509;90;;;;;;;;;;;;;;;;;
309;NL GW5;Gat van Waalre;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.385;1.516;90;;;;;;;;;;;;;;;;;
310;NL GW5;Gat van Waalre;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.355;NA;90;;;;;;;;;;;;;;;;;
311;NL GW10;Gat van Waalre;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.377;1.436;90;;;;;;;;;;;;;;;;;
312;NL GW10;Gat van Waalre;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.31;NA;90;;;;;;;;;;;;;;;;;
313;NL GW10;Gat van Waalre;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.546;1.674;90;;;;;;;;;;;;;;;;;
314;NL GW10;Gat van Waalre;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.41;NA;90;;;;;;;;;;;;;;;;;
315;NL GW10;Gat van Waalre;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.48;1.397;90;;;;;;;;;;;;;;;;;
316;NL PW0;Plas Wagenberg;littoral;on top of sediment;2015;1;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
317;NL PW0;Plas Wagenberg;littoral;on top of sediment;2015;2;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
318;NL PW0;Plas Wagenberg;littoral;on top of sediment;2015;3;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
319;NL PW0;Plas Wagenberg;littoral;on top of sediment;2015;4;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
320;NL PW0;Plas Wagenberg;littoral;on top of sediment;2015;5;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
321;NL PW2;Plas Wagenberg;littoral;on top of sediment;2015;1;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
322;NL PW2;Plas Wagenberg;littoral;on top of sediment;2015;2;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
323;NL PW2;Plas Wagenberg;littoral;on top of sediment;2015;3;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
324;NL PW2;Plas Wagenberg;littoral;on top of sediment;2015;4;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
325;NL PW2;Plas Wagenberg;littoral;on top of sediment;2015;5;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
326;NL PW5;Plas Wagenberg;littoral;on top of sediment;2015;1;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
327;NL PW5;Plas Wagenberg;littoral;on top of sediment;2015;2;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
328;NL PW5;Plas Wagenberg;littoral;on top of sediment;2015;3;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
329;NL PW5;Plas Wagenberg;littoral;on top of sediment;2015;4;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
330;NL PW5;Plas Wagenberg;littoral;on top of sediment;2015;5;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
331;NL PW10;Plas Wagenberg;littoral;on top of sediment;2015;1;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
332;NL PW10;Plas Wagenberg;littoral;on top of sediment;2015;2;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
333;NL PW10;Plas Wagenberg;littoral;on top of sediment;2015;3;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
334;NL PW10;Plas Wagenberg;littoral;on top of sediment;2015;4;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
335;NL PW10;Plas Wagenberg;littoral;on top of sediment;2015;5;2.099295185;2.232493822;NA;NA;90;;;;;;;;;;;;;;;;;
336;NL LK0;Leemkuilen;littoral;on top of sediment;2015;6;2.099295185;2.232493822;0.419;1.552;90;;;;;;;;;;;;;;;;;
337;NL LK0;Leemkuilen;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.392;1.541;90;;;;;;;;;;;;;;;;;
338;NL LK0;Leemkuilen;littoral;on top of sediment;2015;2;2.099295185;2.232493822;NA;1.462;90;;;;;;;;;;;;;;;;;
339;NL LK0;Leemkuilen;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.435;1.477;90;;;;;;;;;;;;;;;;;
340;NL LK0;Leemkuilen;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.444;1.47;90;;;;;;;;;;;;;;;;;
341;NL LK0;Leemkuilen;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.373;1.379;90;;;;;;;;;;;;;;;;;
342;NL LK2;Leemkuilen;littoral;on top of sediment;2015;6;2.099295185;2.232493822;0.411;1.473;90;;;;;;;;;;;;;;;;;
343;NL LK2;Leemkuilen;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.463;1.426;90;;;;;;;;;;;;;;;;;
344;NL LK2;Leemkuilen;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.388;1.564;90;;;;;;;;;;;;;;;;;
345;NL LK2;Leemkuilen;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.372;1.423;90;;;;;;;;;;;;;;;;;
346;NL LK2;Leemkuilen;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.407;1.453;90;;;;;;;;;;;;;;;;;
347;NL LK2;Leemkuilen;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.373;NA;90;;;;;;;;;;;;;;;;;
348;NL LK5;Leemkuilen;littoral;on top of sediment;2015;6;2.099295185;2.232493822;0.376;1.298;90;;;;;;;;;;;;;;;;;
349;NL LK5;Leemkuilen;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.429;1.487;90;;;;;;;;;;;;;;;;;
350;NL LK5;Leemkuilen;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.364;1.411;90;;;;;;;;;;;;;;;;;
351;NL LK5;Leemkuilen;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.381;1.332;90;;;;;;;;;;;;;;;;;
352;NL LK5;Leemkuilen;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.365;1.435;90;;;;;;;;;;;;;;;;;
353;NL LK5;Leemkuilen;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.383;1.572;90;;;;;;;;;;;;;;;;;
354;NL LK10;Leemkuilen;littoral;on top of sediment;2015;6;2.099295185;2.232493822;0.42;1.357;90;;;;;;;;;;;;;;;;;
355;NL LK10;Leemkuilen;littoral;on top of sediment;2015;1;2.099295185;2.232493822;0.359;1.423;90;;;;;;;;;;;;;;;;;
356;NL LK10;Leemkuilen;littoral;on top of sediment;2015;2;2.099295185;2.232493822;0.404;1.396;90;;;;;;;;;;;;;;;;;
357;NL LK10;Leemkuilen;littoral;on top of sediment;2015;3;2.099295185;2.232493822;0.424;1.387;90;;;;;;;;;;;;;;;;;
358;NL LK10;Leemkuilen;littoral;on top of sediment;2015;4;2.099295185;2.232493822;0.44;1.344;90;;;;;;;;;;;;;;;;;
359;NL LK10;Leemkuilen;littoral;on top of sediment;2015;5;2.099295185;2.232493822;0.379;1.43;90;;;;;;;;;;;;;;;;;
360;NL LK10;Leemkuilen;littoral;on top of sediment;2015;7;2.099295185;2.232493822;NA;1.353;90;;;;;;;;;;;;;;;;;
361;CZ Hamersky Brno;Hamerský;littoral;on top of sediment;2017;1;2.12;2.17;0.000;1.000;92;;;;;;;;;;;;;;;;;
362;CZ Hamersky Brno;Hamerský;littoral;on top of sediment;2017;2;2.18;2.22;0.000;1.000;92;;;;;;;;;;;;;;;;;
363;CZ Holásecký fishpond Brno;Holásecký;littoral;on top of sediment;2017;1;2.16;2.26;0.410;1.43;91;;;;;;;;;;;;;;;;;
364;CZ Holásecký fishpond Brno;Holásecký;littoral;on top of sediment;2017;2;2.18;2.22;0.500;1.450;91;;;;;;;;;;;;;;;;;
365;CZ Holásecký fishpond Brno;Holásecký;littoral;on top of sediment;2017;3;2.16;2.15;0.440;1.430;91;;;;;;;;;;;;;;;;;
366;CZ Žeb?tínský fishpond Brno;Žeb?tínský;littoral;on top of sediment;2017;1;2.01;2.21;0.790;1.550;92;;;;;;;;;;;;;;;;;
367;CZ Žeb?tínský fishpond Brno;Žeb?tínský;littoral;on top of sediment;2017;2;2.22;2.19;1.000;1.000;92;;;;;;;;;;;;;;;;;
368;CZ Žeb?tínský fishpond Brno;Žeb?tínský;littoral;on top of sediment;2017;3;2.2;2.2;NA;NA;92;;;;;;;;;;;;;;;;;
