Sample ID;year;Location;Country;Lake;Type;Depth (m);Latitude N;Longitude E;Altitude (m asl);Area (km2);Koppen Geiger climate classification;Mean depth;Max depth;Secchi (m)
172;2016;IR Emy 4;IR;Emy;littoral;1;54.34214;-6.94121;48;0.43;Cf;5;;1.4
179;2016;T Eymir;T;Eymir;littoral;1;39.82584;32.83349;984;1.1;Cs;3;;1.7
188;2017;IT Maresse;IT;Maresse;littoral;1;45.92939;10.552052;1842;0.00;Df;NA;NA;NA
191;2017;IT Mare;IT;Mare;littoral;1;46.059754;10.497431;2232;0.01;ET;NA;NA;NA
220;2015;NL RP2;NL;Rosmalense plas;littoral;2;51.723447;5.334576;4;0.19;Cf;31.2;11.6;4.2
225;2015;NL RP5;NL;Rosmalense plas;littoral;5;51.723447;5.334576;4;0.19;Cf;31.2;11.6;4.2
230;2015;NL RP10;NL;Rosmalense plas;littoral;10;51.723447;5.334576;4;0.19;Cf;31.2;11.6;4.2
194;2017;IT Campo;IT;Campo;pelagic;1;46.04049;10.49856;1943;0.09;Df;13.7;27;9.6
240;2015;NL HV2;NL;Engelermeer;littoral;2;51.702733;5.239674;1.3;0.15;Cf;15.5;8.1;4.5
245;2015;NL HV5;NL;Engelermeer;littoral;5;51.702733;5.239674;1.3;0.15;Cf;15.5;8.1;4.5
250;2015;NL HV10;NL;Engelermeer;littoral;10;51.702733;5.239674;1.3;0.15;Cf;15.5;8.1;4.5
197;2017;IT Wildersee;IT;Wildersee;littoral;1;46.898193;11.5899;2532;0.10;ET;NA;NA;NA
260;2015;NLOL2;NL;de Omloop;littoral;2;51.791854;4.950042;0.8;0.06;Cf;13.5;6.8;0.9
265;2015;NL OL5;NL;de Omloop;littoral;5;51.791854;4.950042;0.8;0.06;Cf;13.5;6.8;0.9
270;2015;NL OL10;NL;de Omloop;littoral;10;51.791854;4.950042;0.8;0.06;Cf;13.5;6.8;0.9
200;2017;IT S. Giustina;IT;S. Giustina;pelagic;1;46.37199;11.05023;553;3.50;Cf;52;152;3.2
280;2015;NL BM2;NL;Blauwe meer;littoral;2;51.613653;5.057933;9;0.2;Cf;10.8;23.4;6.45
285;2015;NL BM5;NL;Blauwe meer;littoral;5;51.613653;5.057933;9;0.2;Cf;10.8;23.4;6.45
291;2015;NL BM10;NL;Blauwe meer;littoral;10;51.613653;5.057933;9;0.2;Cf;10.8;23.4;6.45
203;2017;IT Valagola;IT;Valagola;littoral;1;46.165991;10.82025;1595;0.03;Df;NA;4;3.5
301;2015;NL GW2;NL;Gat van Waalre;littoral;2;51.396893;5.445546;28.5;0.15;Cf;22.7;11.7;4.65
306;2015;NL GW5;NL;Gat van Waalre;littoral;5;51.396893;5.445546;28.5;0.15;Cf;22.7;11.7;4.65
311;2015;NL GW10;NL;Gat van Waalre;littoral;10;51.396893;5.445546;28.5;0.15;Cf;22.7;11.7;4.65
206;2017;IT Barco;IT;Barco;littoral;1;46.273486;10.706155;1904;0.02;Df;NA;8;NA
321;2015;NL PW2;NL;Plas Wagenberg;littoral;2;51.656317;4.752216;0.3;0.10;Cf;17.5;7.0;3.35
326;2015;NL PW5;NL;Plas Wagenberg;littoral;5;51.656317;4.752216;0.3;0.10;Cf;17.5;7.0;3.35
331;2015;NL PW10;NL;Plas Wagenberg;littoral;10;51.656317;4.752216;0.3;0.10;Cf;17.5;7.0;3.35
212;2017;IT Mezzana;IT;Mezzana;littoral;1;46.27778;10.80972;2001;0.01;ET;NA;12.5;NA
342;2015;NL LK2;NL;Leemkuilen;littoral;2;51.60757;5.184475;6;0.38;Cf;15.5;7.3;3.15
348;2015;NL LK5;NL;Leemkuilen;littoral;5;51.60757;5.184475;6;0.38;Cf;15.5;7.3;3.15
354;2015;NL LK10;NL;Leemkuilen;littoral;10;51.60757;5.184475;6;0.38;Cf;15.5;7.3;3.15
361;2017;CZ Hamerský Prague;CZ ;Hamerský;littoral;1;50.0523078;14.4861419;220;0.03;Cf;;;0.815
363;2017;CZ Holásecký fishpond Brno;CZ;Holásecký;littoral;0.8;49.1461111;16.6425;193;0.02;Cf;;;0.5825
366;2017;CZ Žeb?tínský fishpond Brno;CZ;Žeb?tínský ;littoral;1;49.2142156;16.4929825;306;0.0442;Cf;;;0.54
